"","lon","lat","id"
"340",-69.25,11.25,"World"
"341",-70.25,11.25,"World"
"342",-66.75,3.75,"World"
"343",-63.25,6.25,"World"
"344",-63.75,7.75,"World"
"345",-71.25,7.75,"World"
"346",-62.25,9.25,"World"
"347",-68.25,9.75,"World"
"348",-65.75,5.25,"World"
"349",-67.25,3.75,"World"
"350",-70.75,9.25,"World"
"351",-68.25,9.25,"World"
"352",-63.75,8.75,"World"
"353",-64.75,3.75,"World"
"354",-65.25,4.25,"World"
"355",-67.25,2.75,"World"
"356",-64.25,4.75,"World"
"357",-72.25,10.25,"World"
"358",-72.25,10.75,"World"
"359",-71.75,10.75,"World"
"360",-65.75,6.25,"World"
"361",-66.25,8.25,"World"
"362",-63.25,4.75,"World"
"363",-63.25,4.25,"World"
"364",-66.75,10.25,"World"
"365",-62.25,9.75,"World"
"366",-69.25,10.25,"World"
"367",-67.75,10.25,"World"
"368",-66.25,3.75,"World"
"369",-69.75,10.25,"World"
"370",-66.75,1.25,"World"
"371",-64.25,7.25,"World"
"372",-62.75,9.25,"World"
"373",-65.75,9.75,"World"
"374",-67.75,9.75,"World"
"375",-72.25,8.75,"World"
"376",-61.25,5.25,"World"
"377",-71.25,10.75,"World"
"378",-67.25,6.25,"World"
"379",-65.25,3.25,"World"
"380",-66.75,3.25,"World"
"381",-63.25,9.75,"World"
"382",-64.25,1.75,"World"
"383",-64.75,2.25,"World"
"384",-62.75,10.25,"World"
"385",-68.75,8.25,"World"
"386",-71.25,8.75,"World"
"387",-63.75,2.25,"World"
"388",-72.25,9.75,"World"
"389",-65.75,2.25,"World"
"390",-61.25,8.25,"World"
"391",-66.25,2.25,"World"
"392",-66.25,1.25,"World"
"393",-66.75,1.75,"World"
"394",-62.75,9.75,"World"
"395",-65.75,3.75,"World"
"396",-67.25,5.75,"World"
"397",-72.75,10.25,"World"
"398",-65.75,1.75,"World"
"399",-63.25,10.25,"World"
"400",-64.25,4.25,"World"
"401",-68.75,10.75,"World"
"402",-64.75,5.75,"World"
"403",-65.25,1.75,"World"
"404",-68.75,6.25,"World"
"405",-62.75,4.75,"World"
"406",-62.75,4.25,"World"
"407",-65.75,3.25,"World"
"408",-66.75,2.25,"World"
"409",-67.25,3.25,"World"
"410",-62.25,4.25,"World"
"411",-65.75,2.75,"World"
"412",-66.25,4.25,"World"
"413",-64.25,5.75,"World"
"414",-70.25,8.25,"World"
"415",-66.25,1.75,"World"
"416",-63.75,5.75,"World"
"417",-61.75,4.25,"World"
"418",-69.25,6.25,"World"
"419",-66.75,6.25,"World"
"420",-61.25,4.75,"World"
"421",-71.25,10.25,"World"
"422",-63.75,10.25,"World"
"423",-66.75,5.75,"World"
"424",-71.75,8.75,"World"
"425",-63.75,4.25,"World"
"426",-70.75,8.25,"World"
"427",-69.25,8.25,"World"
"428",-63.75,9.75,"World"
"429",-65.75,5.75,"World"
"430",-62.75,5.75,"World"
"431",-64.75,1.75,"World"
"432",-66.25,2.75,"World"
"433",-65.25,2.75,"World"
"434",-63.75,4.75,"World"
"435",-64.25,2.25,"World"
"436",-65.25,5.75,"World"
"437",-62.25,7.75,"World"
"438",-70.75,10.25,"World"
"439",-64.25,10.25,"World"
"440",-61.75,5.25,"World"
"441",-66.25,5.75,"World"
"442",-62.75,5.25,"World"
"443",-62.25,5.25,"World"
"444",-64.75,2.75,"World"
"445",-66.75,2.75,"World"
"446",-159.75,-21.25,"World"
"447",-149.25,-17.75,"World"
"448",-172.25,-13.75,"World"
"449",-70.75,-50.75,"World"
"450",-66.75,-28.75,"World"
"451",-61.75,-31.25,"World"
"452",-69.75,-50.75,"World"
"453",-71.75,-49.25,"World"
"454",-62.25,-29.25,"World"
"455",-68.75,-48.75,"World"
"456",-69.75,-49.75,"World"
"457",-66.25,-34.25,"World"
"458",-67.25,-28.75,"World"
"459",-72.75,-49.25,"World"
"460",-68.25,-28.75,"World"
"461",-69.25,-49.75,"World"
"462",-65.75,-54.75,"World"
"463",-71.25,-49.75,"World"
"464",-71.75,-49.75,"World"
"465",-60.75,-31.75,"World"
"466",-58.75,-35.25,"World"
"467",-60.25,-31.75,"World"
"468",-72.25,-48.75,"World"
"469",-66.75,-31.25,"World"
"470",-65.75,-28.75,"World"
"471",-66.25,-28.75,"World"
"472",-59.75,-30.25,"World"
"473",-68.75,-28.75,"World"
"474",-64.25,-30.25,"World"
"475",-58.25,-36.25,"World"
"476",-69.25,-29.75,"World"
"477",-61.25,-31.75,"World"
"478",-63.25,-30.25,"World"
"479",-64.75,-33.25,"World"
"480",-66.75,-29.25,"World"
"481",-68.25,-29.75,"World"
"482",-70.25,-50.75,"World"
"483",-65.25,-30.25,"World"
"484",-58.25,-30.75,"World"
"485",-65.25,-31.25,"World"
"486",-69.25,-30.25,"World"
"487",-67.25,-31.25,"World"
"488",-59.75,-35.25,"World"
"489",-62.75,-31.75,"World"
"490",-63.25,-31.75,"World"
"491",-65.75,-31.75,"World"
"492",-67.75,-49.25,"World"
"493",-70.25,-51.25,"World"
"494",-68.75,-29.25,"World"
"495",-69.25,-49.25,"World"
"496",-58.25,-37.75,"World"
"497",-65.75,-31.25,"World"
"498",-64.75,-32.25,"World"
"499",-58.75,-37.75,"World"
"500",-67.75,-34.25,"World"
"501",-63.25,-35.75,"World"
"502",-68.25,-31.25,"World"
"503",-65.25,-28.75,"World"
"504",-62.25,-31.25,"World"
"505",-71.75,-50.25,"World"
"506",-62.25,-31.75,"World"
"507",-67.75,-28.75,"World"
"508",-65.75,-36.75,"World"
"509",-68.25,-54.25,"World"
"510",-64.25,-32.25,"World"
"511",-63.75,-33.25,"World"
"512",-64.75,-31.25,"World"
"513",-69.25,-28.25,"World"
"514",-69.25,-50.25,"World"
"515",-72.25,-49.75,"World"
"516",-60.25,-35.25,"World"
"517",-63.75,-30.25,"World"
"518",-60.75,-30.75,"World"
"519",-68.75,-49.75,"World"
"520",-66.25,-29.25,"World"
"521",-71.75,-48.75,"World"
"522",-60.75,-29.75,"World"
"523",-71.25,-50.75,"World"
"524",-69.25,-29.25,"World"
"525",-66.25,-36.75,"World"
"526",-72.25,-47.75,"World"
"527",-67.25,-36.25,"World"
"528",-63.75,-31.75,"World"
"529",-69.25,-28.75,"World"
"530",-57.75,-30.25,"World"
"531",-58.75,-30.25,"World"
"532",-66.25,-31.75,"World"
"533",-62.75,-29.75,"World"
"534",-69.75,-49.25,"World"
"535",-66.25,-29.75,"World"
"536",-70.25,-49.25,"World"
"537",-64.75,-29.25,"World"
"538",-65.25,-29.25,"World"
"539",-58.75,-30.75,"World"
"540",-58.25,-32.25,"World"
"541",-61.75,-31.75,"World"
"542",-63.25,-29.25,"World"
"543",-67.75,-31.25,"World"
"544",-69.25,-37.75,"World"
"545",-64.75,-30.75,"World"
"546",-72.25,-50.25,"World"
"547",-70.75,-51.25,"World"
"548",-63.25,-36.25,"World"
"549",-61.75,-29.75,"World"
"550",-59.75,-27.25,"World"
"551",-69.75,-46.25,"World"
"552",-71.75,-50.75,"World"
"553",-69.25,-32.25,"World"
"554",-61.25,-35.25,"World"
"555",-60.75,-35.25,"World"
"556",-68.75,-50.25,"World"
"557",-59.25,-35.25,"World"
"558",-58.25,-35.25,"World"
"559",-60.25,-30.75,"World"
"560",-69.25,-33.25,"World"
"561",-60.25,-30.25,"World"
"562",-69.75,-29.25,"World"
"563",-66.75,-29.75,"World"
"564",-60.75,-34.75,"World"
"565",-69.25,-33.75,"World"
"566",-59.75,-34.75,"World"
"567",-59.25,-37.75,"World"
"568",-68.25,-49.25,"World"
"569",-64.25,-31.75,"World"
"570",-71.75,-51.25,"World"
"571",-72.25,-51.25,"World"
"572",-63.75,-36.25,"World"
"573",-64.75,-31.75,"World"
"574",-71.25,-51.25,"World"
"575",-67.75,-47.25,"World"
"576",-65.25,-33.25,"World"
"577",-61.25,-29.75,"World"
"578",-67.75,-33.25,"World"
"579",-64.25,-33.25,"World"
"580",-65.75,-33.25,"World"
"581",-58.75,-36.25,"World"
"582",-60.25,-33.75,"World"
"583",-62.75,-29.25,"World"
"584",-68.25,-48.75,"World"
"585",-59.75,-31.75,"World"
"586",-68.25,-30.75,"World"
"587",-60.75,-31.25,"World"
"588",-61.75,-33.25,"World"
"589",-67.75,-32.75,"World"
"590",-71.25,-50.25,"World"
"591",-73.25,-50.25,"World"
