"","lon","lat","id"
"431",-64.75,1.75,"lowlat"
"432",-66.25,2.75,"lowlat"
"433",-65.25,2.75,"lowlat"
"434",-63.75,4.75,"lowlat"
"435",-64.25,2.25,"lowlat"
"436",-65.25,5.75,"lowlat"
"437",-62.25,7.75,"lowlat"
"438",-70.75,10.25,"lowlat"
"439",-64.25,10.25,"lowlat"
"440",-61.75,5.25,"lowlat"
"441",-66.25,5.75,"lowlat"
"442",-62.75,5.25,"lowlat"
"443",-62.25,5.25,"lowlat"
"444",-64.75,2.75,"lowlat"
"445",-66.75,2.75,"lowlat"
"446",-159.75,-21.25,"lowlat"
"447",-149.25,-17.75,"lowlat"
"448",-172.25,-13.75,"lowlat"
"449",-70.75,-50.75,"midlat"
"450",-66.75,-28.75,"midlat"
"451",-61.75,-31.25,"midlat"
"452",-69.75,-50.75,"midlat"
"453",-71.75,-49.25,"midlat"
"454",-62.25,-29.25,"midlat"
"455",-68.75,-48.75,"midlat"
"456",-69.75,-49.75,"midlat"
"457",-66.25,-34.25,"midlat"
"458",-67.25,-28.75,"midlat"
"459",-72.75,-49.25,"midlat"
"460",-68.25,-28.75,"midlat"
"461",-69.25,-49.75,"midlat"
"462",-65.75,-54.75,"midlat"
"463",-71.25,-49.75,"midlat"
"464",-71.75,-49.75,"midlat"
"465",-60.75,-31.75,"midlat"
"466",-58.75,-35.25,"midlat"
"467",-60.25,-31.75,"midlat"
"468",-72.25,-48.75,"midlat"
"469",-66.75,-31.25,"midlat"
"470",-65.75,-28.75,"midlat"
"471",-66.25,-28.75,"midlat"
"472",-59.75,-30.25,"midlat"
"473",-68.75,-28.75,"midlat"
"474",-64.25,-30.25,"midlat"
"475",-58.25,-36.25,"midlat"
"476",-69.25,-29.75,"midlat"
"477",-61.25,-31.75,"midlat"
"478",-63.25,-30.25,"midlat"
"479",-64.75,-33.25,"midlat"
"480",-66.75,-29.25,"midlat"
"481",-68.25,-29.75,"midlat"
"482",-70.25,-50.75,"midlat"
"483",-65.25,-30.25,"midlat"
"484",-58.25,-30.75,"midlat"
"485",-65.25,-31.25,"midlat"
"486",-69.25,-30.25,"midlat"
"487",-67.25,-31.25,"midlat"
"488",-59.75,-35.25,"midlat"
"489",-62.75,-31.75,"midlat"
"490",-63.25,-31.75,"midlat"
"491",-65.75,-31.75,"midlat"
"492",-67.75,-49.25,"midlat"
"493",-70.25,-51.25,"midlat"
"494",-68.75,-29.25,"midlat"
"495",-69.25,-49.25,"midlat"
"496",-58.25,-37.75,"midlat"
"497",-65.75,-31.25,"midlat"
"498",-64.75,-32.25,"midlat"
"499",-58.75,-37.75,"midlat"
"500",-67.75,-34.25,"midlat"
"501",-63.25,-35.75,"midlat"
"502",-68.25,-31.25,"midlat"
"503",-65.25,-28.75,"midlat"
"504",-62.25,-31.25,"midlat"
"505",-71.75,-50.25,"midlat"
"506",-62.25,-31.75,"midlat"
"507",-67.75,-28.75,"midlat"
"508",-65.75,-36.75,"midlat"
"509",-68.25,-54.25,"midlat"
"510",-64.25,-32.25,"midlat"
"511",-63.75,-33.25,"midlat"
"512",-64.75,-31.25,"midlat"
"513",-69.25,-28.25,"midlat"
"514",-69.25,-50.25,"midlat"
"515",-72.25,-49.75,"midlat"
"516",-60.25,-35.25,"midlat"
"517",-63.75,-30.25,"midlat"
"518",-60.75,-30.75,"midlat"
"519",-68.75,-49.75,"midlat"
"520",-66.25,-29.25,"midlat"
"521",-71.75,-48.75,"midlat"
"522",-60.75,-29.75,"midlat"
"523",-71.25,-50.75,"midlat"
"524",-69.25,-29.25,"midlat"
"525",-66.25,-36.75,"midlat"
"526",-72.25,-47.75,"midlat"
"527",-67.25,-36.25,"midlat"
"528",-63.75,-31.75,"midlat"
"529",-69.25,-28.75,"midlat"
"530",-57.75,-30.25,"midlat"
"531",-58.75,-30.25,"midlat"
"532",-66.25,-31.75,"midlat"
"533",-62.75,-29.75,"midlat"
"534",-69.75,-49.25,"midlat"
"535",-66.25,-29.75,"midlat"
"536",-70.25,-49.25,"midlat"
"537",-64.75,-29.25,"midlat"
"538",-65.25,-29.25,"midlat"
"539",-58.75,-30.75,"midlat"
"540",-58.25,-32.25,"midlat"
"541",-61.75,-31.75,"midlat"
"542",-63.25,-29.25,"midlat"
"543",-67.75,-31.25,"midlat"
"544",-69.25,-37.75,"midlat"
"545",-64.75,-30.75,"midlat"
"546",-72.25,-50.25,"midlat"
"547",-70.75,-51.25,"midlat"
"548",-63.25,-36.25,"midlat"
"549",-61.75,-29.75,"midlat"
"550",-59.75,-27.25,"midlat"
"551",-69.75,-46.25,"midlat"
"552",-71.75,-50.75,"midlat"
"553",-69.25,-32.25,"midlat"
"554",-61.25,-35.25,"midlat"
"555",-60.75,-35.25,"midlat"
"556",-68.75,-50.25,"midlat"
"557",-59.25,-35.25,"midlat"
"558",-58.25,-35.25,"midlat"
"559",-60.25,-30.75,"midlat"
"560",-69.25,-33.25,"midlat"
"561",-60.25,-30.25,"midlat"
"562",-69.75,-29.25,"midlat"
"563",-66.75,-29.75,"midlat"
"564",-60.75,-34.75,"midlat"
"565",-69.25,-33.75,"midlat"
"566",-59.75,-34.75,"midlat"
"567",-59.25,-37.75,"midlat"
"568",-68.25,-49.25,"midlat"
"569",-64.25,-31.75,"midlat"
"570",-71.75,-51.25,"midlat"
"571",-72.25,-51.25,"midlat"
"572",-63.75,-36.25,"midlat"
"573",-64.75,-31.75,"midlat"
"574",-71.25,-51.25,"midlat"
"575",-67.75,-47.25,"midlat"
"576",-65.25,-33.25,"midlat"
"577",-61.25,-29.75,"midlat"
"578",-67.75,-33.25,"midlat"
"579",-64.25,-33.25,"midlat"
"580",-65.75,-33.25,"midlat"
"581",-58.75,-36.25,"midlat"
"582",-60.25,-33.75,"midlat"
"583",-62.75,-29.25,"midlat"
"584",-68.25,-48.75,"midlat"
"585",-59.75,-31.75,"midlat"
"586",-68.25,-30.75,"midlat"
"587",-60.75,-31.25,"midlat"
"588",-61.75,-33.25,"midlat"
"589",-67.75,-32.75,"midlat"
"590",-71.25,-50.25,"midlat"
"591",-73.25,-50.25,"midlat"
"592",-59.25,-27.25,"midlat"
"593",-69.75,-30.25,"midlat"
"594",-59.75,-31.25,"midlat"
"595",-59.25,-31.25,"midlat"
"596",-64.75,-34.75,"midlat"
"597",-69.75,-29.75,"midlat"
"598",-68.75,-29.75,"midlat"
"599",-64.75,-30.25,"midlat"
"600",-61.25,-30.25,"midlat"
"601",-60.75,-30.25,"midlat"
"602",-63.75,-32.25,"midlat"
"603",-65.25,-32.25,"midlat"
"604",-70.75,-51.75,"midlat"
"605",-62.25,-32.75,"midlat"
"606",-68.75,-52.25,"midlat"
"607",-62.75,-32.25,"midlat"
"608",-68.75,-49.25,"midlat"
"609",-70.75,-49.25,"midlat"
"610",-68.75,-31.75,"midlat"
"611",-58.25,-30.25,"midlat"
"612",-68.25,-31.75,"midlat"
"613",-63.75,-29.75,"midlat"
"614",-63.25,-29.75,"midlat"
"615",-60.75,-32.25,"midlat"
"616",-66.75,-31.75,"midlat"
"617",-66.25,-33.25,"midlat"
"618",-69.75,-51.25,"midlat"
"619",-64.25,-31.25,"midlat"
"620",-72.25,-50.75,"midlat"
"621",-69.25,-31.25,"midlat"
"622",-68.75,-31.25,"midlat"
"623",-62.75,-38.75,"midlat"
"624",-68.75,-44.75,"midlat"
"625",-67.75,-48.75,"midlat"
"626",-60.25,-31.25,"midlat"
"627",-68.75,-30.75,"midlat"
"628",-66.25,-30.75,"midlat"
"629",-72.75,-50.25,"midlat"
"630",-69.25,-50.75,"midlat"
"631",-67.25,-32.75,"midlat"
"632",-61.25,-27.25,"midlat"
"633",-60.25,-27.25,"midlat"
"634",-67.25,-34.75,"midlat"
"635",-71.75,-47.75,"midlat"
"636",-65.25,-30.75,"midlat"
"637",-59.75,-28.75,"midlat"
"638",-69.25,-34.25,"midlat"
"639",-63.25,-34.75,"midlat"
"640",-62.75,-30.25,"midlat"
"641",-63.25,-32.25,"midlat"
"642",-62.25,-30.25,"midlat"
"643",-72.25,-49.25,"midlat"
"644",-70.75,-49.75,"midlat"
"645",-61.75,-30.25,"midlat"
"646",-70.25,-36.25,"midlat"
"647",-67.75,-36.25,"midlat"
"648",-63.75,-37.25,"midlat"
"649",-71.25,-49.25,"midlat"
"650",-67.75,-29.25,"midlat"
"651",-70.75,-45.25,"midlat"
"652",-67.25,-29.25,"midlat"
"653",-69.75,-51.75,"midlat"
"654",-60.25,-34.25,"midlat"
"655",-67.75,-35.75,"midlat"
"656",-69.25,-35.75,"midlat"
"657",-62.25,-29.75,"midlat"
"658",-65.75,-29.25,"midlat"
"659",-62.25,-36.25,"midlat"
"660",-64.25,-29.25,"midlat"
"661",-71.25,-48.75,"midlat"
"662",-70.75,-48.75,"midlat"
"663",-64.25,-35.75,"midlat"
"664",-63.75,-35.75,"midlat"
"665",-70.25,-37.75,"midlat"
"666",-69.75,-32.75,"midlat"
"667",-59.25,-31.75,"midlat"
"668",-58.25,-31.75,"midlat"
"669",-63.25,-31.25,"midlat"
"670",-68.25,-32.75,"midlat"
"671",-69.25,-30.75,"midlat"
"672",-62.75,-38.25,"midlat"
"673",-70.75,-50.25,"midlat"
"674",-71.25,-46.25,"midlat"
"675",-64.75,-37.75,"midlat"
"676",-65.25,-34.75,"midlat"
"677",-58.75,-31.25,"midlat"
"678",-72.75,-49.75,"midlat"
"679",-61.25,-30.75,"midlat"
"680",-66.75,-30.25,"midlat"
"681",-68.25,-49.75,"midlat"
"682",-65.75,-30.25,"midlat"
"683",-62.75,-32.75,"midlat"
"684",-61.25,-34.75,"midlat"
"685",-65.25,-34.25,"midlat"
"686",-65.75,-34.25,"midlat"
"687",-60.25,-34.75,"midlat"
"688",-60.25,-37.75,"midlat"
"689",-64.75,-37.25,"midlat"
"690",-70.25,-51.75,"midlat"
"691",-65.75,-29.75,"midlat"
"692",-67.75,-53.75,"midlat"
"693",-59.25,-30.25,"midlat"
"694",-65.25,-31.75,"midlat"
"695",-62.25,-34.25,"midlat"
"696",-62.75,-27.75,"midlat"
"697",-68.75,-33.25,"midlat"
"698",-68.25,-33.25,"midlat"
"699",-62.75,-33.75,"midlat"
"700",-62.25,-33.75,"midlat"
"701",-67.25,-33.25,"midlat"
"702",-61.25,-33.75,"midlat"
"703",-60.75,-33.75,"midlat"
"704",-59.75,-33.75,"midlat"
"705",-58.75,-29.75,"midlat"
"706",-66.25,-31.25,"midlat"
"707",-61.25,-29.25,"midlat"
"708",-58.75,-31.75,"midlat"
"709",-66.25,-32.75,"midlat"
"710",-62.75,-31.25,"midlat"
"711",-63.25,-33.25,"midlat"
"712",-68.75,-32.75,"midlat"
"713",-67.25,-26.75,"midlat"
"714",-65.75,-30.75,"midlat"
"715",-68.25,-48.25,"midlat"
"716",-61.25,-33.25,"midlat"
"717",-60.25,-28.75,"midlat"
"718",-61.75,-35.25,"midlat"
"719",-59.25,-28.75,"midlat"
"720",-69.75,-50.25,"midlat"
"721",-59.75,-30.75,"midlat"
"722",-64.25,-34.25,"midlat"
"723",-59.25,-30.75,"midlat"
"724",-67.25,-32.25,"midlat"
"725",-71.25,-51.75,"midlat"
"726",-67.25,-25.75,"midlat"
"727",-61.75,-32.75,"midlat"
"728",-70.25,-31.75,"midlat"
"729",-69.75,-31.75,"midlat"
"730",-68.25,-29.25,"midlat"
"731",-63.75,-33.75,"midlat"
"732",-71.25,-45.25,"midlat"
"733",-59.75,-32.75,"midlat"
"734",-64.25,-29.75,"midlat"
